         317529 function calls (317121 primitive calls) in 2.478 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:575(DoubleVar)
        1    0.000    0.000    0.000    0.000 __init__.py:596(BooleanVar)
       12    0.000    0.000    0.000    0.000 __init__.py:61(_stringify)
        1    0.000    0.000    0.000    0.000 __init__.py:646(Misc)
        5    0.000    0.000    0.000    0.000 __init__.py:657(destroy)
        1    0.000    0.000    0.000    0.000 __init__.py:768(focus_force)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:820(__contains__)
        1    0.000    0.000    0.000    0.000 ball.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ball.py:12(Ball)
        1    0.000    0.000    0.001    0.001 ball.py:23(__init__)
       18    0.001    0.000    0.005    0.000 ball.py:36(move)
        1    0.000    0.000    0.000    0.000 ball.py:45(bounce)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bricks.py:10(Brick)
      152    0.002    0.000    0.077    0.001 bricks.py:13(__init__)
        1    0.000    0.000    0.000    0.000 bricks.py:32(Bricks)
        1    0.000    0.000    0.078    0.078 bricks.py:35(__init__)
        8    0.000    0.000    0.078    0.010 bricks.py:42(crt_lane)
        1    0.000    0.000    0.078    0.078 bricks.py:48(crt_lanes)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 commondialog.py:1(<module>)
        1    0.000    0.000    0.000    0.000 commondialog.py:16(Dialog)
        1    0.000    0.000    0.000    0.000 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cp1252.py:22(decode)
       39    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.001    0.001 enum.py:180(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       44    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
        1    0.000    0.000    0.000    0.000 enum.py:222(<setcomp>)
        3    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       44    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       25    0.000    0.000    0.000    0.000 enum.py:359(__call__)
        1    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       44    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
       46    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
        1    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
        2    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
        2    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
        1    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
       25    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:801(value)
        1    0.000    0.000    0.000    0.000 enum.py:82(__init__)
       44    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
        4    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.000    0.000 genericpath.py:121(_splitext)
        6    0.000    0.000    0.000    0.000 genericpath.py:27(isfile)
      110    0.000    0.000    0.001    0.000 inspect.py:1190(getargs)
      110    0.000    0.000    0.000    0.000 inspect.py:379(iscode)
        1    0.001    0.001    2.479    2.479 main.py:1(<module>)
       18    0.000    0.000    0.001    0.000 main.py:112(check_coll_paddle)
       18    0.002    0.000    0.044    0.002 main.py:156(check_coll_brick)
        1    0.000    0.000    0.000    0.000 main.py:61(stop)
       18    0.000    0.000    0.000    0.000 main.py:81(check_coll_walls)
        1    0.000    0.000    0.001    0.001 messagebox.py:1(<module>)
        1    0.000    0.000    0.000    0.000 messagebox.py:61(Message)
       12    0.000    0.000    0.000    0.000 ntpath.py:124(splitdrive)
        2    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        1    0.000    0.000    0.000    0.000 ntpath.py:203(splitext)
        1    0.000    0.000    0.000    0.000 ntpath.py:214(basename)
        2    0.000    0.000    0.000    0.000 ntpath.py:34(_get_bothseps)
        5    0.000    0.000    0.000    0.000 ntpath.py:77(join)
        1    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 os.py:740(check_str)
        1    0.000    0.000    0.000    0.000 os.py:746(encodekey)
        1    0.000    0.000    0.000    0.000 pdle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pdle.py:12(Paddle)
        1    0.000    0.000    0.002    0.002 pdle.py:15(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:103(Random)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
        1    0.000    0.000    0.000    0.000 random.py:219(__init_subclass__)
        1    0.000    0.000    0.000    0.000 random.py:813(SystemRandom)
      112    0.000    0.000    0.001    0.000 re.py:249(compile)
      112    0.000    0.000    0.001    0.000 re.py:288(_compile)
        1    0.000    0.000    0.000    0.000 scrbrd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 scrbrd.py:25(Scoreboard)
        1    0.000    0.000    0.026    0.026 scrbrd.py:28(__init__)
        4    0.000    0.000    0.047    0.012 scrbrd.py:45(update_scr)
        3    0.000    0.000    0.021    0.007 scrbrd.py:50(inc_score)
        1    0.000    0.000    0.003    0.003 simpledialog.py:1(<module>)
        1    0.000    0.000    0.000    0.000 simpledialog.py:270(_QueryDialog)
        1    0.000    0.000    0.000    0.000 simpledialog.py:31(SimpleDialog)
        1    0.000    0.000    0.000    0.000 simpledialog.py:337(_QueryInteger)
